rt,key_press,correct,coherent_movement_direction,coherent_orientation,task_type,task_transition,congruency,id,run
570,j,TRUE,0,180,mov,switch,incongruent,1,5
584,j,TRUE,0,0,or,switch,congruent,1,5
604,j,TRUE,0,0,or,repetition,congruent,1,5
707,j,TRUE,0,0,or,repetition,congruent,1,5
464,f,TRUE,0,180,or,repetition,incongruent,1,5
681,f,TRUE,180,180,or,repetition,congruent,1,5
615,j,TRUE,0,0,or,repetition,congruent,1,5
565,f,TRUE,180,180,or,repetition,congruent,1,5
559,f,TRUE,180,180,mov,switch,congruent,1,5
571,f,TRUE,180,180,or,switch,congruent,1,5
524,f,TRUE,180,180,mov,switch,congruent,1,5
773,j,FALSE,180,0,mov,repetition,incongruent,1,5
809,j,TRUE,180,0,or,switch,incongruent,1,5
652,f,TRUE,180,0,mov,switch,incongruent,1,5
493,j,TRUE,0,0,or,switch,congruent,1,5
707,j,TRUE,0,0,or,repetition,congruent,1,5
614,f,TRUE,0,180,or,repetition,incongruent,1,5
613,j,TRUE,0,0,mov,switch,congruent,1,5
504,f,TRUE,180,180,or,switch,congruent,1,5
557,f,TRUE,180,180,mov,switch,congruent,1,5
843,f,TRUE,180,0,mov,repetition,incongruent,1,5
547,f,TRUE,0,180,or,switch,incongruent,1,5
529,j,TRUE,0,180,mov,switch,incongruent,1,5
358,f,TRUE,180,180,mov,repetition,congruent,1,5
343,j,TRUE,0,0,mov,repetition,congruent,1,5
642,f,FALSE,0,0,or,switch,congruent,1,5
447,f,TRUE,180,180,mov,switch,congruent,1,5
770,j,TRUE,0,180,mov,repetition,incongruent,1,5
438,j,TRUE,0,180,mov,repetition,incongruent,1,5
428,j,TRUE,0,0,mov,repetition,congruent,1,5
452,j,TRUE,0,0,mov,repetition,congruent,1,5
548,j,TRUE,0,0,mov,repetition,congruent,1,5
648,j,TRUE,180,0,or,switch,incongruent,1,5
498,j,TRUE,0,180,mov,null,incongruent,1,6
468,f,TRUE,180,0,mov,repetition,incongruent,1,6
399,j,TRUE,0,0,mov,repetition,congruent,1,6
622,f,FALSE,180,0,or,switch,incongruent,1,6
620,j,TRUE,0,0,or,repetition,congruent,1,6
575,j,TRUE,0,0,or,repetition,congruent,1,6
595,f,TRUE,0,180,or,repetition,incongruent,1,6
513,j,TRUE,0,0,mov,switch,congruent,1,6
515,f,TRUE,180,0,mov,repetition,incongruent,1,6
473,j,TRUE,0,180,mov,repetition,incongruent,1,6
